date,year,month,region,industry,salary_uah
2021-01-01,2021,1,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13158.0
2021-01-01,2021,1,Україна,Авіаційний транспорт,22394.0
2021-01-01,2021,1,Україна,Наземний і трубопровідний транспорт,11766.0
2021-01-01,2021,1,Україна,"Діяльність у сфері творчості, мистецтва та розваг",9706.0
2021-01-01,2021,1,Україна,Добування кам'яного та бурого вугілля,17948.0
2021-01-01,2021,1,Україна,Виробництво електричного устатковання,10232.0
2021-01-01,2021,1,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,21418.0
2021-01-01,2021,1,Україна,Сільське господарство та надання пов'язаних із ними послуг,9529.0
2021-01-01,2021,1,Україна,Виробництво коксу та продуктів нафтоперероблення,17532.0
2021-01-01,2021,1,Україна,"Сільське господарство, лісове господарство та рибне господарство",9565.0
2021-01-01,2021,1,Україна,Виробництво хімічних речовин і хімічної продукції,12271.0
2021-01-01,2021,1,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",8971.0
2021-01-01,2021,1,Україна,Водний транспорт,12604.0
2021-01-01,2021,1,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",12252.0
2021-01-01,2021,1,Україна,Поштова та кур'єрська діяльність,7524.0
2021-01-01,2021,1,Україна,Наукові дослідження та розробки,13333.0
2021-01-01,2021,1,Україна,Охорона здоров'я,10786.0
2021-01-01,2021,1,Україна,"Виробництво машин і устатковання, н.в.і.у.",10852.0
2021-01-01,2021,1,Україна,Тимчасове розміщування й організація харчування,6647.0
2021-01-01,2021,1,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",11105.0
2021-01-01,2021,1,Україна,Переробна промисловість,11832.0
2021-01-01,2021,1,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",7321.0
2021-01-01,2021,1,Україна,Добувна промисловість і розроблення кар'єрів,17813.0
2021-01-01,2021,1,Україна,Фінансова та страхова діяльність,24095.0
2021-01-01,2021,1,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11145.0
2021-01-01,2021,1,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",18130.0
2021-01-01,2021,1,Україна,Промисловість,13374.0
2021-01-01,2021,1,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",10937.0
2021-01-01,2021,1,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",15594.0
2021-01-01,2021,1,Україна,Будівництво,9238.0
2021-01-01,2021,1,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,11898.0
2021-01-01,2021,1,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",11655.0
2021-01-01,2021,1,Україна,"Водопостачання; каналізація, поводження з відходами",10131.0
2021-01-01,2021,1,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",12210.0
2021-01-01,2021,1,Україна,Інформація та телекомунікації,21941.0
2021-01-01,2021,1,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10067.0
2021-01-01,2021,1,Дніпропетровська,Усього,12744.0
2021-01-01,2021,1,Запорізька,Усього,12542.0
2021-01-01,2021,1,Донецька,Усього,13786.0
2021-01-01,2021,1,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10304.0
2021-01-01,2021,1,Україна,Освіта,10310.0
2021-01-01,2021,1,Київська,Усього,12645.0
2021-01-01,2021,1,Україна,Операції з нерухомим майном,9683.0
2021-01-01,2021,1,Україна,Усього,12337.0
2021-01-01,2021,1,Україна,"Професійна, наукова та технічна діяльність",16602.0
2021-01-01,2021,1,Україна,Надання інших видів послуг,11657.0
2021-01-01,2021,1,Україна,"Мистецтво, спорт, розваги та відпочинок",10437.0
2021-01-01,2021,1,Україна,Охорона здоров'я та надання соціальної допомоги,10573.0
2021-01-01,2021,1,Івано-Франківська,Усього,10558.0
2021-01-01,2021,1,Україна,Державне управління й оборона; обов'язкове соціальне страхування,15231.0
2021-01-01,2021,1,Львівська,Усього,11038.0
2021-01-01,2021,1,Київ,Усього,17533.0
2021-01-01,2021,1,Одеська,Усього,10995.0
2021-01-01,2021,1,Харківська,Усього,10364.0
2021-01-01,2021,1,Полтавська,Усього,11353.0
2021-02-01,2021,2,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13002.0
2021-02-01,2021,2,Україна,Авіаційний транспорт,22503.0
2021-02-01,2021,2,Україна,Наземний і трубопровідний транспорт,11356.0
2021-02-01,2021,2,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10326.0
2021-02-01,2021,2,Україна,Добування кам'яного та бурого вугілля,17110.0
2021-02-01,2021,2,Україна,Виробництво електричного устатковання,10792.0
2021-02-01,2021,2,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,22087.0
2021-02-01,2021,2,Україна,Сільське господарство та надання пов'язаних із ними послуг,9434.0
2021-02-01,2021,2,Україна,Виробництво коксу та продуктів нафтоперероблення,16850.0
2021-02-01,2021,2,Україна,"Сільське господарство, лісове господарство та рибне господарство",9580.0
2021-02-01,2021,2,Україна,Виробництво хімічних речовин і хімічної продукції,12393.0
2021-02-01,2021,2,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9138.0
2021-02-01,2021,2,Україна,Водний транспорт,12429.0
2021-02-01,2021,2,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",12936.0
2021-02-01,2021,2,Україна,Поштова та кур'єрська діяльність,7480.0
2021-02-01,2021,2,Україна,Наукові дослідження та розробки,13406.0
2021-02-01,2021,2,Україна,Охорона здоров'я,10992.0
2021-02-01,2021,2,Україна,"Виробництво машин і устатковання, н.в.і.у.",11227.0
2021-02-01,2021,2,Україна,Тимчасове розміщування й організація харчування,7272.0
2021-02-01,2021,2,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",11574.0
2021-02-01,2021,2,Україна,Переробна промисловість,11879.0
2021-02-01,2021,2,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",7716.0
2021-02-01,2021,2,Україна,Добувна промисловість і розроблення кар'єрів,17149.0
2021-02-01,2021,2,Україна,Фінансова та страхова діяльність,23208.0
2021-02-01,2021,2,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11085.0
2021-02-01,2021,2,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",17827.0
2021-02-01,2021,2,Україна,Промисловість,13285.0
2021-02-01,2021,2,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",11066.0
2021-02-01,2021,2,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",14789.0
2021-02-01,2021,2,Україна,Будівництво,9542.0
2021-02-01,2021,2,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12072.0
2021-02-01,2021,2,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",11764.0
2021-02-01,2021,2,Україна,"Водопостачання; каналізація, поводження з відходами",10105.0
