"Показник","Територіальний розріз","Вид економічної діяльності","Категорія розрізу","Розріз","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04","2026-M05","2026-M06"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Складське господарство та допоміжна діяльність у сфері транспорту","Стать","Усього","Місячна","13158","13002","13237","13390","13535","13581","14017","14276","14438","14574","14681","14961","","","","","","","","","","","","","15370","15333","15771","","","","","","","","","","21373","21156","21188","21583","21845","22166","22512","22748","22906","23152","23296","23714","26373","26227","26061","26288","26285","26487","26843","27042","27323","27634","27808","28250","31065","30851","30982","31407","31489","31790"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Авіаційний транспорт","Стать","Усього","Місячна","22394","22503","23409","23972","24791","25541","26177","26739","27084","27390","27677","28506","","","","","","","","","","","","","27820","29026","29377","","","","","","","","","","34163","34085","34494","37380","38138","38871","39818","40293","40382","40960","41267","43416","52433","51669","52527","53416","54579","55389","55743","55975","56093","56171","56067","57471","58249","57889","58789","59224","60408","61581"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Наземний і трубопровідний транспорт","Стать","Усього","Місячна","11766","11356","11419","11836","11973","12004","12382","12679","12782","12881","12915","13121","","","","","","","","","","","","","13405","13078","13299","","","","","","","","","","17229","16741","16838","17219","17465","17706","18025","18258","18396","18643","18795","19323","20961","20645","20883","21192","21344","21560","21880","22016","22393","22652","22738","23057","25087","24315","24658","25019","25297","25710"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Діяльність у сфері творчості, мистецтва та розваг","Стать","Усього","Місячна","9706","10326","10436","10273","10385","10698","10897","10923","10979","10990","11025","11315","","","","","","","","","","","","","9704","9934","10171","","","","","","","","","","11112","11331","11515","11664","11835","12137","12275","12304","12463","12601","12774","13136","12580","12708","13011","13131","13257","13579","13705","13743","13859","13953","14084","14390","13822","14031","14416","14757","14986","15445"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Добування кам'яного та бурого вугілля","Стать","Усього","Місячна","17948","17110","17526","17614","17597","17554","17632","17699","17708","17722","17779","17883","","","","","","","","","","","","","21846","22259","22809","","","","","","","","","","27777","27755","28145","28679","28575","28390","28287","28531","28892","29127","29316","29723","32038","31692","31782","32836","33259","33552","33959","34377","34763","34895","34947","35090","37215","36702","36885","37782","38183","38388"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво електричного устатковання","Стать","Усього","Місячна","10232","10792","11085","11254","11411","11590","11811","11949","12083","12169","12275","12508","","","","","","","","","","","","","12600","12901","13347","","","","","","","","","","16912","17429","17734","18176","18545","18778","19040","19236","19461","19674","20029","20443","22721","22899","23417","23818","24352","24488","24719","24867","24960","25130","25277","25536","27595","27662","28258","28604","29290","29881"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Стать","Усього","Місячна","21418","22087","23894","24523","24403","24214","24223","24325","24306","24435","24550","24914","","","","","","","","","","","","","29179","31194","31395","","","","","","","","","","37864","37285","38345","40171","40092","39640","39962","40390","40530","40651","40805","40928","42768","42800","43567","45050","45377","45058","45404","45870","45860","46003","46423","46815","51159","51151","53077","55235","54745","54229"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Сільське господарство та надання пов'язаних із ними послуг","Стать","Усього","Місячна","9529","9434","9647","10379","10652","10761","11005","11095","11181","11356","11499","11733","","","","","","","","","","","","","12357","11853","12159","","","","","","","","","","14404","14159","14482","15155","15703","15911","16272","16424","16833","17080","17349","17710","20733","20689","21399","21816","22479","22702","23012","23278","23504","23667","23792","24034","26924","26320","26730","27191","28499","28735"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво коксу та продуктів нафтоперероблення","Стать","Усього","Місячна","17532","16850","17535","17606","17732","17890","18123","18005","17866","17953","17881","17966","","","","","","","","","","","","","17552","17545","17870","","","","","","","","","","17739","18490","19862","20898","21407","21831","22337","22634","22824","23060","23278","23621","27072","26002","25569","26396","26759","27200","27776","28181","28377","28570","28583","28725","32584","32352","34158","34700","35175","35717"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Сільське господарство, лісове господарство та рибне господарство","Стать","Усього","Місячна","9565","9580","9956","10628","10881","11060","11317","11442","11623","11800","11964","12287","","","","","","","","","","","","","12224","11883","12312","","","","","","","","","","14467","14543","14988","15611","16120","16335","16680","16827","17246","17490","17739","18088","20682","20673","21530","21929","22565","22810","23121","23378","23645","23804","23922","24227","26877","26358","27296","27727","28894","29205"
